Date,RAINFALL,TMAX,TMIN,RH,WIND_SPEED,WIND_DIRECTION,SO2,CO2,Location,Surface Water Temp (°C),Middle Water Temp (°C),Bottom Water Temp (°C),pH Level,Ammonia (mg/L),Nitrate-N/Nitrite-N  (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),WQI
2017-03-16,0.0237803383182152,0.5200000000000002,0.3673469387755093,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Berinayan Laurel,0.7088235294117647,0.5691056910569107,0.37837837837837834,0.4350649350649349,0.1126126126126126,0.031746031746031744,0.1022727272727272,0.3022508038585209,0.1746750789132344
2017-03-16,0.0237803383182152,0.5200000000000002,0.3673469387755093,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Sampaloc Talisay,0.7058823529411764,0.5528455284552848,0.4729729729729726,0.4642857142857139,0.0945945945945945,0.037037037037037035,0.1161931818181817,0.2170418006430868,0.15945342137431293
2017-03-16,0.0237803383182152,0.5200000000000002,0.3673469387755093,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Aya Talisay,0.7205882352941176,0.5691056910569107,0.37837837837837834,0.4090909090909091,0.0855855855855855,0.014109347442680775,0.1136363636363636,0.267684887459807,0.14164599535614256
2017-03-16,0.0237803383182152,0.5200000000000002,0.3673469387755093,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Buso Buso Laurel,0.7205882352941176,0.585365853658537,0.37837837837837834,0.4642857142857139,0.1171171171171171,0.04056437389770723,0.1031249999999999,0.454983922829582,0.240725896625656
2017-04-01,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Buso Buso Laurel,0.7205882352941176,0.585365853658537,0.37837837837837834,0.4642857142857139,0.1171171171171171,0.04056437389770723,0.1031249999999999,0.454983922829582,0.240725896625656
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Tanauan,0.7352941176470588,0.609756097560976,0.2837837837837841,0.4902597402597402,0.063063063063063,0.031746031746031744,0.1232954545454546,0.6864951768488746,0.30435852787689077
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Mataas na Kahoy,0.7352941176470588,0.5528455284552848,0.3108108108108108,0.5173160173160176,0.0765765765765765,0.03527336860670194,0.1261363636363636,0.6318327974276529,0.29533958103690783
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,San Nicolas,0.7441176470588236,0.5203252032520326,0.3108108108108108,0.4902597402597402,0.0855855855855855,0.03350970017636684,0.1213068181818181,0.617363344051447,0.2833958302221601
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Subic Ilaya Agoncilo,0.7647058823529411,0.5934959349593497,0.37837837837837834,0.5173160173160176,0.081081081081081,0.03350970017636684,0.0920454545454545,0.4983922829581993,0.2552110965995851
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Bilibinwang Agoncillo,0.7558823529411764,0.5691056910569107,0.37837837837837834,0.5714285714285712,0.0675675675675675,0.04056437389770723,0.109375,0.4557877813504823,0.25456158879939694
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Bañaga Agoncillo,0.7647058823529411,0.6260162601626019,0.37837837837837834,0.5984848484848486,0.09009009009009,0.03350970017636684,0.1025568181818181,0.3922829581993569,0.24149913676208176
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Buso Buso Laurel,0.7705882352941176,0.5934959349593497,0.33783783783783755,0.5173160173160176,0.09009009009009,0.015873015873015872,0.1127840909090909,0.3979099678456592,0.21081074532274072
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Berinayan Laurel,0.7647058823529411,0.6016260162601629,0.37837837837837834,0.5714285714285712,0.0675675675675675,0.04585537918871252,0.0931818181818182,0.4831189710610932,0.26821665990629306
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Sampaloc Talisay,0.788235294117647,0.5934959349593497,0.48648648648648657,0.5714285714285712,0.081081081081081,0.031746031746031744,0.1025568181818181,0.5426045016077171,0.2894832842235666
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Tumaway Talisay,0.788235294117647,0.5934959349593497,0.37837837837837834,0.4902597402597402,0.0675675675675675,0.031746031746031744,0.1116477272727272,0.4541800643086817,0.23528525976151485
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Aya Talisay,0.788235294117647,0.5934959349593497,0.37837837837837834,0.6525974025974026,0.081081081081081,0.021164021164021163,0.1139204545454545,0.6511254019292605,0.32805037226576406
2017-04-10,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.10195483532553107,Balakilong Laurel,0.7705882352941176,0.650406504065041,0.5135135135135134,0.5714285714285712,0.0675675675675675,0.01234567901234568,0.0960227272727273,0.4541800643086817,0.2463530565821749
2017-04-20,0.0218190733022799,0.826666666666667,0.6530612244897958,0.3684210526315787,0.5,0.0588235294117647,0.2052656072150709,0.06779007362595889,Balakilong Laurel,0.7705882352941176,0.650406504065041,0.5135135135135134,0.5714285714285712,0.0675675675675675,0.01234567901234568,0.0960227272727273,0.4541800643086817,0.2463530565821749
2017-05-01,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Balakilong Laurel,0.7705882352941176,0.650406504065041,0.5135135135135134,0.5714285714285712,0.0675675675675675,0.01234567901234568,0.0960227272727273,0.4541800643086817,0.2463530565821749
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Bañaga Agoncillo,0.7970588235294118,0.650406504065041,0.48648648648648657,0.5443722943722942,0.1396396396396396,0.015873015873015872,0.1022727272727272,0.3898713826366559,0.23741724264983102
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Subic Ilaya Agoncilo,0.8117647058823529,0.6341463414634151,0.37837837837837834,0.5173160173160176,0.1621621621621621,0.01234567901234568,0.0832386363636363,0.4871382636655948,0.2563446551115266
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Bilibinwang Agoncillo,0.8235294117647058,0.6341463414634151,0.37837837837837834,0.3820346320346321,0.1621621621621621,0.02292768959435626,0.1102272727272727,0.3930868167202572,0.21049693775844122
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Buso Buso Laurel,0.7970588235294118,0.6422764227642278,0.48648648648648657,0.5173160173160176,0.09009009009009,0.01763668430335097,0.1056818181818182,0.5128617363344051,0.264235642514579
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,San Nicolas,0.7941176470588235,0.585365853658537,0.37837837837837834,0.4902597402597402,0.1396396396396396,0.021164021164021163,0.0960227272727273,0.5594855305466239,0.274417884442294
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Berinayan Laurel,0.8176470588235294,0.6341463414634151,0.48648648648648657,0.4902597402597402,0.108108108108108,0.014109347442680775,0.0957386363636363,0.4935691318327974,0.2528788984148239
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Sampaloc Talisay,0.8382352941176471,0.6341463414634151,0.48648648648648657,0.4632034632034632,0.0765765765765765,0.01763668430335097,0.096875,0.4782958199356913,0.24030928249407865
2017-05-10,0.1551850943858788,0.8933333333333335,0.8979591836734695,0.5263157894736841,0.0,0.5882352941176471,0.2052656072150709,0.06779007362595889,Tumaway Talisay,0.7941176470588235,0.6585365853658541,0.48648648648648657,0.5173160173160176,0.0585585585585585,0.014109347442680775,0.1056818181818182,0.5168810289389068,0.2575161964089199
